ts;x;y;z
2022-12-27 13:56:06.356635;-1.161399;0.369494;4.087973,
2022-12-27 13:56:06.366693;-1.351627;0.253526;4.444894,
2022-12-27 13:56:06.376751;-1.555936;0.067777;4.998436,
2022-12-27 13:56:06.386809;-1.672404;-0.086347;5.600607,
2022-12-27 13:56:06.396867;-1.706092;-0.249076;6.226805,
2022-12-27 13:56:06.406925;-1.595569;-0.440820;6.792550,
2022-12-27 13:56:06.416982;-1.373194;-0.664703;7.204640,
2022-12-27 13:56:06.427042;-1.129046;-0.876714;7.441849,
2022-12-27 13:56:06.437100;-0.922380;-1.003318;7.476567,
2022-12-27 13:56:06.447157;-0.737727;-1.063927;7.409891,
2022-12-27 13:56:06.487389;-0.688826;-1.333850;7.480513,
2022-12-27 13:56:06.497448;-0.648131;-1.412181;7.307026,
2022-12-27 13:56:06.457216;-0.634449;-1.132663;7.402474,
2022-12-27 13:56:06.467274;-0.623910;-1.181681;7.472492,
2022-12-27 13:56:06.477332;-0.658682;-1.253413;7.511404,
2022-12-27 13:56:06.507506;-0.574262;-1.464205;6.908313,
2022-12-27 13:56:06.517564;-0.528983;-1.390342;6.154003,
2022-12-27 13:56:06.527623;-0.472921;-1.190928;5.045300,
2022-12-27 13:56:06.537681;-0.358423;-0.900916;3.697439,
2022-12-27 13:56:06.547739;-0.154714;-0.487299;2.296112,
2022-12-27 13:56:06.557797;0.050567;-0.194574;1.063243,
2022-12-27 13:56:06.567855;0.193221;-0.087869;0.106879,
2022-12-27 13:56:06.577913;0.250368;-0.071580;-0.437935,
2022-12-27 13:56:06.587971;0.205007;-0.175516;-0.615082,
2022-12-27 13:56:06.598028;0.094975;-0.307972;-0.533101,
2022-12-27 13:56:06.608087;-0.014057;-0.413920;-0.321338,
2022-12-27 13:56:06.618146;-0.079787;-0.427180;-0.166738,
2022-12-27 13:56:06.628203;-0.092343;-0.331773;-0.147887,
2022-12-27 13:56:06.638262;-0.058274;-0.235438;-0.304067,
